NUM_ID,ID,set,Extractor,Host.species,Host.family,Host.order,Host.class,Host.phyla,Host.kingdom,Host.Age,Habitat,Water,Migration,Thermal.biology,Disease.species,Disease.isolate,Disease.type,Detection.method,Detection.Detail,Transmission.mode,ecto.endo.parasite,Latitude,Longitude,Location,Month.s.,Year,Date,Span,n,Infected,Prevalence,Paper,Full.citation,Longterm.tmp,bio7,Longterm.pre,Monthly.tmp,Monthly.pre,Uninfected,abslat
11482,AM.3645,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI03,Protozoa,,,indirect,endoparasite,12.04773333,121.3934167,"Semirara, Philippines",March,2006,200603,1,11,6,0.545455,Silva-Iturriza et al 2012a,,27.4,9.3,3321,28.2,266,5,12.04773333
11483,AM.3644,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI02,Protozoa,,,indirect,endoparasite,12.04773333,121.3934167,"Semirara, Philippines",March,2006,200603,1,11,1,0.090909,Silva-Iturriza et al 2012a,,27.4,9.3,3321,28.2,266,10,12.04773333
11484,AM.3643,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI01,Protozoa,,,indirect,endoparasite,12.04773333,121.3934167,"Semirara, Philippines",March,2006,200603,1,11,1,0.090909,Silva-Iturriza et al 2012a,,27.4,9.3,3321,28.2,266,10,12.04773333
11485,AM.3667,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI16,Protozoa,,,indirect,endoparasite,11.9755,121.9281,"Boracay, Philippines",March,2004,200403,1,10,1,0.1,Silva-Iturriza et al 2012a,,27.5,9.3,3590,27.8,1083,9,11.9755
11486,AM.3663,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI15,Protozoa,,,indirect,endoparasite,11.9755,121.9281,"Boracay, Philippines",March,2004,200403,1,10,1,0.1,Silva-Iturriza et al 2012a,,27.5,9.3,3590,27.8,1083,9,11.9755
11493,BD.3859,BD,NH,Crinia georgiana,Myobatrachidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,-33.917,122.209,"southwestern Australia, Cape le Grand",September,2008,200809,1,30,21,0.7,Riley et al 2013,,16.9,18.7,650,14.2,836,9,33.917
11494,AM.3678,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI24,Protozoa,,,indirect,endoparasite,11.065,122.4606,"Panay, Philippines",March,2004,200403,1,22,1,0.045455,Silva-Iturriza et al 2012a,,26.7,9.5,2381,25.8,516,21,11.065
11495,AM.3677,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI23,Protozoa,,,indirect,endoparasite,11.065,122.4606,"Panay, Philippines",March,2004,200403,1,22,1,0.045455,Silva-Iturriza et al 2012a,,26.7,9.5,2381,25.8,516,21,11.065
11496,AM.3676,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI22,Protozoa,,,indirect,endoparasite,11.065,122.4606,"Panay, Philippines",March,2004,200403,1,22,2,0.090909,Silva-Iturriza et al 2012a,,26.7,9.5,2381,25.8,516,20,11.065
11497,AM.3675,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI21,Protozoa,,,indirect,endoparasite,11.065,122.4606,"Panay, Philippines",March,2004,200403,1,22,1,0.045455,Silva-Iturriza et al 2012a,,26.7,9.5,2381,25.8,516,21,11.065
11498,AM.3674,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI20,Protozoa,,,indirect,endoparasite,11.065,122.4606,"Panay, Philippines",March,2004,200403,1,22,1,0.045455,Silva-Iturriza et al 2012a,,26.7,9.5,2381,25.8,516,21,11.065
11499,AM.3669,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI17,Protozoa,,,indirect,endoparasite,11.065,122.4606,"Panay, Philippines",March,2004,200403,1,22,4,0.181818,Silva-Iturriza et al 2012a,,26.7,9.5,2381,25.8,516,18,11.065
11500,AM.3664,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI15,Protozoa,,,indirect,endoparasite,11.065,122.4606,"Panay, Philippines",March,2004,200403,1,22,3,0.136364,Silva-Iturriza et al 2012a,,26.7,9.5,2381,25.8,516,19,11.065
11501,AM.3647,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI03,Protozoa,,,indirect,endoparasite,11.065,122.4606,"Panay, Philippines",March,2004,200403,1,22,2,0.090909,Silva-Iturriza et al 2012a,,26.7,9.5,2381,25.8,516,20,11.065
11503,AM.3681,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI27,Protozoa,,,indirect,endoparasite,10.83698333,123.45405,"Negros, Philippines",March,2004,200403,1,3,1,0.333333,Silva-Iturriza et al 2012a,,27.3,10.9,1831,27,635,2,10.83698333
11504,AM.3680,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI26,Protozoa,,,indirect,endoparasite,10.83698333,123.45405,"Negros, Philippines",March,2004,200403,1,3,1,0.333333,Silva-Iturriza et al 2012a,,27.3,10.9,1831,27,635,2,10.83698333
11505,AM.3679,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI25,Protozoa,,,indirect,endoparasite,10.83698333,123.45405,"Negros, Philippines",March,2004,200403,1,3,1,0.333333,Silva-Iturriza et al 2012a,,27.3,10.9,1831,27,635,2,10.83698333
11506,AM.3671,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI17,Protozoa,,,indirect,endoparasite,10.83698333,123.45405,"Negros, Philippines",March,2004,200403,1,3,1,0.333333,Silva-Iturriza et al 2012a,,27.3,10.9,1831,27,635,2,10.83698333
11507,AM.3665,AM,NA,Ixos philippinus,Pycnonotidae,Passeriformes,Aves,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Haemoproteus,HYPHI15,Protozoa,,,indirect,endoparasite,10.83698333,123.45405,"Negros, Philippines",March,2004,200403,1,3,2,0.666667,Silva-Iturriza et al 2012a,,27.3,10.9,1831,27,635,1,10.83698333
11508,BD.2410,BD,KN,Crinia bilingua,Myobatrachidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,-15,126.3,Doongan and Theda Stations,May,2011,201105,1,16,0,0,McLelland et al 2013,,26.5,18.9,1320,22.7,225,16,15
11509,BD.2411,BD,KN,Limnodynastes convexiusculus,Limnodynastidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,-15,126.3,Doongan and Theda Stations,May,2011,201105,1,120,0,0,McLelland et al 2013,,26.5,18.9,1320,22.7,225,120,15
11510,BD.2416,BD,KN,Litoria inermis,Hylidae,Anura,Amphibia,Chordata,Animalia,Adult,Terrestrial,None,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,-15,126.3,Doongan and Theda Stations,May,2011,201105,1,25,0,0,McLelland et al 2013,,26.5,18.9,1320,22.7,225,25,15
11511,BD.2417,BD,KN,Litoria nasuta,Hylidae,Anura,Amphibia,Chordata,Animalia,Adult,Terrestrial,None,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,-15,126.3,Doongan and Theda Stations,May,2011,201105,1,22,0,0,McLelland et al 2013,,26.5,18.9,1320,22.7,225,22,15
11512,BD.2421,BD,KN,Litoria wotjulemensis,Hylidae,Anura,Amphibia,Chordata,Animalia,Adult,Terrestrial,None,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,-15,126.3,Doongan and Theda Stations,May,2011,201105,1,4,0,0,McLelland et al 2013,,26.5,18.9,1320,22.7,225,4,15
11513,BD.2422,BD,KN,Notaden melanoscaphus,Limnodynastidae,Anura,Amphibia,Chordata,Animalia,Adult,Terrestrial,None,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,-15,126.3,Doongan and Theda Stations,May,2011,201105,1,4,0,0,McLelland et al 2013,,26.5,18.9,1320,22.7,225,4,15
11514,BD.2423,BD,KN,Platyplectrum ornatum,Limnodynastidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,-15,126.3,Doongan and Theda Stations,May,2011,201105,1,11,0,0,McLelland et al 2013,,26.5,18.9,1320,22.7,225,11,15
11515,BD.2424,BD,KN,Uperoleia spp.,Myobatrachidae,Anura,Amphibia,Chordata,Animalia,Adult,Terrestrial,None,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,-15,126.3,Doongan and Theda Stations,May,2011,201105,1,74,0,0,McLelland et al 2013,,26.5,18.9,1320,22.7,225,74,15
11518,BD.4524,BD,JC,Rana dybowskii,Ranidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,49.9,127,"Heihe City, China",April,2008,200804,1,15,0,0,Wei et al 2010 DAO,,-0.9,55.8,552,5.6,284,15,49.9
11519,BD.4525,BD,JC,Rana dybowskii,Ranidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,49.9,127.1,"Heihe City, China",April,2008,200804,1,15,0,0,Wei et al 2010 DAO,,-1.1,55.7,559,5.6,284,15,49.9
11521,BD.4526,BD,JC,Rana dybowskii,Ranidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,49.9,127.2,"Heihe City, China",April,2008,200804,1,15,0,0,Wei et al 2010 DAO,,-0.5,55.6,549,5.6,284,15,49.9
11522,BD.5459,BD,JC,Hyla japonica,Hylidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,37.63,127.22,Namyangju,June - August,2011,201106,3,42,9,0.21,An and Waldman 2016,,10.7,39.9,1444,23.16666667,3694.666667,33,37.63
11523,BD.4515,BD,JC,Rana dybowskii,Ranidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,45.5,127.5,"Acheng City, China",April,2008,200804,1,15,0,0,Wei et al 2010 DAO,,1.6,53.9,663,9,313,15,45.5
11525,BD.4516,BD,JC,Rana dybowskii,Ranidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,45.5,127.6,"Acheng City, China",April,2008,200804,1,15,0,0,Wei et al 2010 DAO,,1.5,53.9,670,9,313,15,45.5
11526,BD.4517,BD,JC,Rana dybowskii,Ranidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,45.5,127.6,"Acheng City, China",April,2008,200804,1,15,0,0,Wei et al 2010 DAO,,1.5,53.9,670,9,313,15,45.5
11528,BD.4523,BD,JC,Rana dybowskii,Ranidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,48,130.1,"Hebei Forest Bureau, China",April,2008,200804,1,15,0,0,Wei et al 2010 DAO,,0.6,55.1,622,7.7,307,15,48
11529,BD.4522,BD,JC,Rana dybowskii,Ranidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,47.9,130.2,"Hebei Forest Bureau, China",April,2008,200804,1,15,0,0,Wei et al 2010 DAO,,0.9,54.9,617,7.7,307,15,47.9
11530,BD.4521,BD,JC,Rana dybowskii,Ranidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,47.7,130.3,"Hebei Forest Bureau, China",April,2008,200804,1,15,0,0,Wei et al 2010 DAO,,1.3,54.1,612,7.7,307,15,47.7
11531,MM.2167,MM,OS,Sus scrofa,Suidae,Artiodactyla,Mammalia,Chordata,Animalia,,Terrestrial,None,no,Endothermic,Gnathostoma doloresi,,Helminth,,,indirect,endoparasite,31.91,131.42,"two localities ( shiromi and Kushima) in Miyazaki Prefecture, Japan",November - December,1996,199611,2,32,31,0.96875,Ishiwata et al 1998,"Ishiwata, K., S. Paz Diaz Camacho, et al. (1998). Gnathostomiasis in wild boars from Japan. Journal of Wildlife Diseases 34(1): 155-157.",17.5,29.3,2552,11.15,646.5,1,31.91
11532,BD.1107,BD,BD,Rana dybowskii,Ranidae,Anura,Amphibia,Chordata,Animalia,Adult,Aquatic,Freshwater,no,Ectothermic,Batrachochytrium dendrobatidis,NA,Fungus,PCR,NA,direct,ectoparasite,43.7,132.4,Primorsky Krai,April - May,2010,201004,2,27,0,0,Civiš et al 2013,,3.3,42.3,732,7.8,865.5,27,43.7
